package,module,phase,milliseconds,megabytes
lens-4.17.1,Control.Lens.Tuple,CoreTidy,123.06,177.24
lens-4.17.1,Control.Lens.Tuple,Desugar,393.88,582.883
lens-4.17.1,Control.Lens.Tuple,Parser,71.54,118.222
lens-4.17.1,Control.Lens.Tuple,Simplifier,845.07,744.561
lens-4.17.1,Control.Lens.Type,CodeGen,1.34,0.518
lens-4.17.1,Control.Lens.Type,CorePrep,0.38,0.125
lens-4.17.1,Control.Lens.Type,CoreTidy,0.21,0.092
lens-4.17.1,Control.Lens.Type,Desugar,0.89,0.187
lens-4.17.1,Control.Lens.Type,Parser,3.85,15.051
lens-4.17.1,Control.Lens.Type,Simplifier,0.42,0.168
lens-4.17.1,Control.Lens.Unsound,CodeGen,13.26,13.047
lens-4.17.1,Control.Lens.Unsound,CorePrep,0.9199999999999999,0.608
lens-4.17.1,Control.Lens.Unsound,CoreTidy,0.4,0.168
lens-4.17.1,Control.Lens.Unsound,Desugar,4.04,0.714
lens-4.17.1,Control.Lens.Unsound,Parser,2.13,4.885
lens-4.17.1,Control.Lens.Unsound,Simplifier,1.05,0.843
lens-4.17.1,Control.Lens.Wrapped,CodeGen,412.94,412.83000000000004
lens-4.17.1,Control.Lens.Wrapped,CorePrep,27.9,33.625
lens-4.17.1,Control.Lens.Wrapped,CoreTidy,32.39,19.946
lens-4.17.1,Control.Lens.Wrapped,Desugar,45.29,47.95
lens-4.17.1,Control.Lens.Wrapped,Parser,22.31,55.077
lens-4.17.1,Control.Lens.Wrapped,Simplifier,192.8,159.074
lens-4.17.1,Control.Lens.Zoom,CodeGen,130.35000000000002,155.82
lens-4.17.1,Control.Lens.Zoom,CorePrep,7.5600000000000005,8.27
lens-4.17.1,Control.Lens.Zoom,CoreTidy,3.34,2.686
lens-4.17.1,Control.Lens.Zoom,Desugar,13.6,13.186
lens-4.17.1,Control.Lens.Zoom,Parser,4.03,12.227
lens-4.17.1,Control.Lens.Zoom,Simplifier,20.19,21.898
lens-4.17.1,Control.Monad.Error.Lens,CodeGen,44.44,52.931
lens-4.17.1,Control.Monad.Error.Lens,CorePrep,2.45,2.352
lens-4.17.1,Control.Monad.Error.Lens,CoreTidy,1.43,0.926
lens-4.17.1,Control.Monad.Error.Lens,Desugar,6.31,4.672
lens-4.17.1,Control.Monad.Error.Lens,Parser,3.06,9.139
lens-4.17.1,Control.Monad.Error.Lens,Simplifier,6.53,8.017
lens-4.17.1,Control.Parallel.Strategies.Lens,CodeGen,4.630000000000001,3.3600000000000003
lens-4.17.1,Control.Parallel.Strategies.Lens,CorePrep,0.71,0.258
lens-4.17.1,Control.Parallel.Strategies.Lens,CoreTidy,0.42,0.134
lens-4.17.1,Control.Parallel.Strategies.Lens,Desugar,1.12,0.418
lens-4.17.1,Control.Parallel.Strategies.Lens,Parser,1.31,4.661
lens-4.17.1,Control.Parallel.Strategies.Lens,Simplifier,0.88,0.641
lens-4.17.1,Control.Seq.Lens,CodeGen,3.09,2.17
lens-4.17.1,Control.Seq.Lens,CorePrep,0.45999999999999996,0.17
lens-4.17.1,Control.Seq.Lens,CoreTidy,0.3,0.086
lens-4.17.1,Control.Seq.Lens,Desugar,0.48,0.181
lens-4.17.1,Control.Seq.Lens,Parser,0.28,0.482
lens-4.17.1,Control.Seq.Lens,Simplifier,0.64,0.31
lens-4.17.1,Data.Array.Lens,CodeGen,3.44,2.407
lens-4.17.1,Data.Array.Lens,CorePrep,0.54,0.228
lens-4.17.1,Data.Array.Lens,CoreTidy,0.27,0.104
lens-4.17.1,Data.Array.Lens,Desugar,0.87,0.359
lens-4.17.1,Data.Array.Lens,Parser,0.42,0.671
lens-4.17.1,Data.Array.Lens,Simplifier,0.91,0.475
lens-4.17.1,Data.Bits.Lens,CodeGen,51.519999999999996,66.931
lens-4.17.1,Data.Bits.Lens,CorePrep,2.17,2.5389999999999997
lens-4.17.1,Data.Bits.Lens,CoreTidy,0.52,0.443
lens-4.17.1,Data.Bits.Lens,Desugar,5.75,6.317
lens-4.17.1,Data.Bits.Lens,Parser,3.09,9.643
lens-4.17.1,Data.Bits.Lens,Simplifier,3.99,5.443
lens-4.17.1,Data.ByteString.Lazy.Lens,CodeGen,10.45,9.826
lens-4.17.1,Data.ByteString.Lazy.Lens,CorePrep,0.87,0.508
lens-4.17.1,Data.ByteString.Lazy.Lens,CoreTidy,0.32,0.183
lens-4.17.1,Data.ByteString.Lazy.Lens,Desugar,2.37,2.274
lens-4.17.1,Data.ByteString.Lazy.Lens,Parser,1.72,5.755
lens-4.17.1,Data.ByteString.Lazy.Lens,Simplifier,1.19,1.268
lens-4.17.1,Data.ByteString.Lens,CodeGen,24.77,29.079
lens-4.17.1,Data.ByteString.Lens,CorePrep,1.32,1.323
lens-4.17.1,Data.ByteString.Lens,CoreTidy,0.5,0.369
lens-4.17.1,Data.ByteString.Lens,Desugar,4.98,6.028
lens-4.17.1,Data.ByteString.Lens,Parser,1.99,6.566
lens-4.17.1,Data.ByteString.Lens,Simplifier,2.24,3.028
lens-4.17.1,Data.ByteString.Strict.Lens,CodeGen,10.15,9.854
lens-4.17.1,Data.ByteString.Strict.Lens,CorePrep,0.78,0.508
lens-4.17.1,Data.ByteString.Strict.Lens,CoreTidy,0.3,0.183
lens-4.17.1,Data.ByteString.Strict.Lens,Desugar,2.39,2.271
lens-4.17.1,Data.ByteString.Strict.Lens,Parser,1.71,5.702
lens-4.17.1,Data.ByteString.Strict.Lens,Simplifier,1.15,1.267
lens-4.17.1,Data.Complex.Lens,CodeGen,32.980000000000004,44.081
lens-4.17.1,Data.Complex.Lens,CorePrep,1.43,1.641
lens-4.17.1,Data.Complex.Lens,CoreTidy,0.47,0.365
lens-4.17.1,Data.Complex.Lens,Desugar,3.34,3.184
lens-4.17.1,Data.Complex.Lens,Parser,1.9,5.968
lens-4.17.1,Data.Complex.Lens,Simplifier,4.59,5.597
lens-4.17.1,Data.Data.Lens,CodeGen,261.56,359.342
lens-4.17.1,Data.Data.Lens,CorePrep,9.39,13.001999999999999
lens-4.17.1,Data.Data.Lens,CoreTidy,3.72,3.32
lens-4.17.1,Data.Data.Lens,Desugar,16.15,17.761
lens-4.17.1,Data.Data.Lens,Parser,6.68,17.31
lens-4.17.1,Data.Data.Lens,Simplifier,56.33,68.636
lens-4.17.1,Data.Dynamic.Lens,CodeGen,9.79,10.513
lens-4.17.1,Data.Dynamic.Lens,CorePrep,0.85,0.6
lens-4.17.1,Data.Dynamic.Lens,CoreTidy,0.37,0.221
lens-4.17.1,Data.Dynamic.Lens,Desugar,1.93,0.878
lens-4.17.1,Data.Dynamic.Lens,Parser,1.28,4.316
lens-4.17.1,Data.Dynamic.Lens,Simplifier,1.2,1.11
lens-4.17.1,Data.HashSet.Lens,CodeGen,3.73,2.915
lens-4.17.1,Data.HashSet.Lens,CorePrep,0.54,0.244
lens-4.17.1,Data.HashSet.Lens,CoreTidy,0.23,0.102
lens-4.17.1,Data.HashSet.Lens,Desugar,1.12,0.405
lens-4.17.1,Data.HashSet.Lens,Parser,1.18,4.132
lens-4.17.1,Data.HashSet.Lens,Simplifier,0.66,0.472
lens-4.17.1,Data.IntSet.Lens,CodeGen,2.73,1.704
lens-4.17.1,Data.IntSet.Lens,CorePrep,0.44,0.196
lens-4.17.1,Data.IntSet.Lens,CoreTidy,0.22,0.097
lens-4.17.1,Data.IntSet.Lens,Desugar,1.04,1.015
lens-4.17.1,Data.IntSet.Lens,Parser,0.45,1.091
lens-4.17.1,Data.IntSet.Lens,Simplifier,0.73,0.509
lens-4.17.1,Data.List.Lens,CodeGen,9.71,12.331
lens-4.17.1,Data.List.Lens,CorePrep,0.84,0.62
