package,module,phase,milliseconds,megabytes
lens-4.17.1,Control.Lens.Internal.Zoom,Simplifier,426.1300000000001,504.971
lens-4.17.1,Control.Lens.Internal.Zoom,SpecConstr,2.87,6.134
lens-4.17.1,Control.Lens.Internal.Zoom,Specialise,2.71,5.214
lens-4.17.1,Control.Lens.Iso,CodeGen,76.77000000000001,106.518
lens-4.17.1,Control.Lens.Iso,CorePrep,3.42,5.056
lens-4.17.1,Control.Lens.Iso,CoreTidy,2.57,3.102
lens-4.17.1,Control.Lens.Iso,Desugar,7.37,9.298
lens-4.17.1,Control.Lens.Iso,Parser,5.78,17.547
lens-4.17.1,Control.Lens.Iso,Simplifier,96.65,134.073
lens-4.17.1,Control.Lens.Iso,SpecConstr,0.63,1.152
lens-4.17.1,Control.Lens.Iso,Specialise,0.99,1.603
lens-4.17.1,Control.Lens.Lens,CodeGen,148.78,208.267
lens-4.17.1,Control.Lens.Lens,CorePrep,4.63,7.872
lens-4.17.1,Control.Lens.Lens,CoreTidy,3.87,4.203
lens-4.17.1,Control.Lens.Lens,Desugar,20.31,23.722
lens-4.17.1,Control.Lens.Lens,Parser,14.48,38.673
lens-4.17.1,Control.Lens.Lens,Simplifier,325.94,190.48299999999998
lens-4.17.1,Control.Lens.Lens,SpecConstr,0.88,1.603
lens-4.17.1,Control.Lens.Lens,Specialise,1.08,2.327
lens-4.17.1,Control.Lens.Level,CodeGen,31.770000000000003,45.615
lens-4.17.1,Control.Lens.Level,CorePrep,1.7799999999999998,2.0469999999999997
lens-4.17.1,Control.Lens.Level,CoreTidy,1.02,1.103
lens-4.17.1,Control.Lens.Level,Desugar,3.24,3.346
lens-4.17.1,Control.Lens.Level,Parser,1.92,6.929
lens-4.17.1,Control.Lens.Level,Simplifier,53.36,67.601
lens-4.17.1,Control.Lens.Level,SpecConstr,0.48,0.74
lens-4.17.1,Control.Lens.Level,Specialise,0.48,0.548
lens-4.17.1,Control.Lens.Operators,CodeGen,1.1800000000000002,0.557
lens-4.17.1,Control.Lens.Operators,CorePrep,0.35,0.122
lens-4.17.1,Control.Lens.Operators,CoreTidy,0.19,0.085
lens-4.17.1,Control.Lens.Operators,Desugar,0.33,0.167
lens-4.17.1,Control.Lens.Operators,Parser,0.78,2.424
lens-4.17.1,Control.Lens.Operators,Simplifier,1.7299999999999998,0.956
lens-4.17.1,Control.Lens.Operators,SpecConstr,0.14,0.059
lens-4.17.1,Control.Lens.Operators,Specialise,0.15,0.063
lens-4.17.1,Control.Lens.Plated,CodeGen,141.5,209.749
lens-4.17.1,Control.Lens.Plated,CorePrep,7.76,10.655999999999999
lens-4.17.1,Control.Lens.Plated,CoreTidy,5.74,6.384
lens-4.17.1,Control.Lens.Plated,Desugar,11.91,16.012
lens-4.17.1,Control.Lens.Plated,Parser,8.3,25.028
lens-4.17.1,Control.Lens.Plated,Simplifier,298.65000000000003,381.273
lens-4.17.1,Control.Lens.Plated,SpecConstr,1.55,2.954
lens-4.17.1,Control.Lens.Plated,Specialise,1.98,3.289
lens-4.17.1,Control.Lens.Prism,CodeGen,72.77,113.12899999999999
lens-4.17.1,Control.Lens.Prism,CorePrep,2.75,4.087
lens-4.17.1,Control.Lens.Prism,CoreTidy,1.55,2
lens-4.17.1,Control.Lens.Prism,Desugar,4.52,5.429
lens-4.17.1,Control.Lens.Prism,Parser,3.16,10.636
lens-4.17.1,Control.Lens.Prism,Simplifier,78.81,108.50800000000001
lens-4.17.1,Control.Lens.Prism,SpecConstr,0.49,0.936
lens-4.17.1,Control.Lens.Prism,Specialise,0.64,1.187
lens-4.17.1,Control.Lens.Reified,CodeGen,578.95,890.577
lens-4.17.1,Control.Lens.Reified,CorePrep,24.57,37.688
lens-4.17.1,Control.Lens.Reified,CoreTidy,25.25,20.677
lens-4.17.1,Control.Lens.Reified,Desugar,25.88,34.617
lens-4.17.1,Control.Lens.Reified,Parser,7.89,23.693
lens-4.17.1,Control.Lens.Reified,Simplifier,1402.69,1662.5139999999997
lens-4.17.1,Control.Lens.Reified,SpecConstr,5.73,10.502
lens-4.17.1,Control.Lens.Reified,Specialise,5.44,8.403
lens-4.17.1,Control.Lens.Review,CodeGen,14.39,18.665
lens-4.17.1,Control.Lens.Review,CorePrep,0.88,0.762
lens-4.17.1,Control.Lens.Review,CoreTidy,0.51,0.422
lens-4.17.1,Control.Lens.Review,Desugar,3.25,3.609
lens-4.17.1,Control.Lens.Review,Parser,1.87,7.064
lens-4.17.1,Control.Lens.Review,Simplifier,14.670000000000002,17.413
lens-4.17.1,Control.Lens.Review,SpecConstr,0.21,0.195
lens-4.17.1,Control.Lens.Review,Specialise,0.27,0.235
lens-4.17.1,Control.Lens.Setter,CodeGen,111.41,145.30700000000002
lens-4.17.1,Control.Lens.Setter,CorePrep,4.359999999999999,6.223
lens-4.17.1,Control.Lens.Setter,CoreTidy,4.27,3.162
lens-4.17.1,Control.Lens.Setter,Desugar,12.31,12.836
lens-4.17.1,Control.Lens.Setter,Parser,9.91,29.967
lens-4.17.1,Control.Lens.Setter,Simplifier,93.77000000000001,122.742
lens-4.17.1,Control.Lens.Setter,SpecConstr,0.77,1.148
lens-4.17.1,Control.Lens.Setter,Specialise,0.85,1.526
